"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Bryce Harper","PHI","599","16.7%","22.4%","0.75",".309",".429",".615","1.044",".305","4.3",".359","-2.5","-0.8","0.8","130","57.7",".431","170","11579"
"Juan Soto","WSN","654","22.2%","14.2%","1.56",".313",".465",".534",".999",".221","3.5",".332","0.5","-1.9","-1.9","136","57.3",".420","163","20123"
"Vladimir Guerrero Jr.","TOR","698","12.3%","15.8%","0.78",".311",".401",".601","1.002",".290","3.1",".313","-0.1","-1.7","-0.3","145","60.4",".419","166","19611"
"Fernando Tatis Jr.","SDP","546","11.4%","28.0%","0.41",".282",".364",".611",".975",".328","5.3",".324","5.1","1.3","2.9","106","39.9",".403","156","19709"
"Shohei Ohtani","LAA","639","15.0%","29.6%","0.51",".257",".372",".592",".965",".335","6.9",".303","0.4","1.6","0.5","119","41.8",".393","152","19755"
"Joey Votto","CIN","533","14.4%","23.8%","0.61",".266",".375",".563",".938",".297","2.2",".287","0.0","0.7","-0.3","98","33.9",".391","140","4314"
"Nick Castellanos","CIN","585","7.0%","20.7%","0.34",".309",".362",".576",".939",".267","3.5",".340","0.1","-0.3","-0.3","108","37.2",".391","140","11737"
"Aaron Judge","NYY","633","11.8%","25.0%","0.47",".287",".373",".544",".916",".256","2.9",".332","-0.4","0.1","0.2","115","38.0",".387","148","15640"
"Trea Turner","- - -","646","6.3%","17.0%","0.37",".328",".375",".536",".911",".208","6.4",".362","3.3","-2.0","3.7","117","38.4",".386","142","16252"
"Bryan Reynolds","PIT","646","11.6%","18.4%","0.63",".302",".390",".522",".912",".220","5.1",".345","2.6","0.8","-0.4","116","37.7",".385","142","19326"
"Tyler O'Neill","STL","537","7.1%","31.3%","0.23",".286",".352",".560",".912",".274","5.8",".366","3.3","0.5","0.9","96","30.8",".384","144","15711"
"C.J. Cron","COL","547","11.0%","21.4%","0.51",".281",".375",".530",".905",".249","2.3",".316","-2.7","-0.2","-0.3","97","31.0",".383","127","12546"
"Kyle Tucker","HOU","567","9.3%","15.9%","0.59",".294",".359",".557",".917",".263","5.3",".304","0.0","0.9","1.5","101","31.9",".383","147","18345"
"Austin Riley","ATL","662","7.9%","25.4%","0.31",".303",".367",".531",".898",".227","2.0",".368","-3.2","0.1","-1.0","116","35.6",".379","135","18360"
"Freddie Freeman","ATL","695","12.2%","15.4%","0.79",".300",".393",".503",".896",".203","4.3",".321","2.7","0.9","-0.3","121","37.2",".379","135","5361"
"Max Muncy","LAD","592","14.0%","20.3%","0.69",".249",".368",".527",".895",".278","3.6",".257","1.1","1.5","-0.5","103","31.5",".379","140","13301"
"Matt Olson","OAK","673","13.1%","16.8%","0.78",".271",".371",".540",".911",".269","2.8",".269","1.9","-1.7","-0.2","117","35.7",".379","146","14344"
"Brandon Crawford","SFG","549","10.2%","19.1%","0.53",".298",".373",".522",".895",".224","5.1",".334","-1.5","1.4","0.5","95","28.5",".377","139","5343"
"Paul Goldschmidt","STL","679","9.9%","20.0%","0.49",".294",".365",".514",".879",".221","5.0",".331","0.5","0.0","1.8","115","33.2",".373","138","9218"
"Rafael Devers","BOS","664","9.3%","21.5%","0.43",".279",".352",".538",".890",".259","3.2",".307","1.8","-0.1","-1.6","113","32.2",".373","134","17350"
"Jose Ramirez","CLE","636","11.3%","13.7%","0.83",".266",".355",".538",".893",".272","7.0",".256","2.5","0.6","3.2","107","30.2",".372","137","13510"
"Cedric Mullins II","BAL","675","8.7%","18.5%","0.47",".291",".360",".518",".878",".228","6.1",".322","0.4","2.3","2.1","114","32.0",".372","136","17929"
"Giancarlo Stanton","NYY","579","10.9%","27.1%","0.40",".273",".354",".516",".870",".243","0.6",".324","-3.6","-2.9","-0.5","97","26.4",".370","137","4949"
"Yordan Alvarez","HOU","598","8.4%","24.2%","0.34",".277",".346",".531",".877",".253","2.9",".320","2.1","-1.3","-0.3","100","27.2",".369","138","19556"
"Teoscar Hernandez","TOR","595","6.1%","24.9%","0.24",".296",".346",".524",".870",".227","4.1",".352","0.3","1.8","0.2","99","26.8",".369","132","13066"
"Xander Bogaerts","BOS","603","10.3%","18.7%","0.55",".295",".370",".493",".863",".198","3.8",".333","1.2","0.0","0.0","100","26.7",".368","130","12161"
"Marcus Semien","TOR","724","9.1%","20.2%","0.45",".265",".334",".538",".873",".273","5.3",".276","1.4","0.6","2.0","120","31.9",".368","131","12533"
"Mookie Betts","LAD","550","12.4%","15.6%","0.79",".264",".367",".487",".854",".223","5.4",".276","-1.2","0.6","-0.6","90","23.2",".365","131","13611"
"Starling Marte","- - -","526","8.2%","18.8%","0.43",".310",".383",".458",".841",".148","7.8",".372","3.9","1.6","6.8","85","21.8",".364","134","9241"
"J.D. Martinez","BOS","634","8.7%","23.7%","0.37",".286",".349",".518",".867",".232","2.6",".340","-1.5","-1.1","-0.5","103","26.0",".364","128","6184"
"Carlos Correa","HOU","640","11.7%","18.1%","0.65",".279",".366",".485",".850",".205","2.4",".308","1.0","-1.0","-0.6","104","26.0",".364","134","14162"
"Brandon Lowe","TBR","615","11.1%","27.2%","0.41",".247",".340",".523",".863",".277","3.8",".280","2.6","1.8","0.5","99","24.9",".363","137","18882"
"Yuli Gurriel","HOU","605","9.8%","11.2%","0.87",".319",".383",".462",".846",".143","2.0",".336","0.5","-1.3","-0.8","98","24.4",".363","134","19198"
"Jonathan India","CIN","631","11.3%","22.3%","0.50",".269",".376",".459",".835",".190","5.1",".326","-0.5","-0.9","0.5","102","25.2",".363","122","21523"
"Pete Alonso","NYM","637","9.4%","19.9%","0.47",".262",".344",".519",".863",".257","3.5",".274","-4.6","-0.6","0.1","103","25.4",".363","133","19251"
"Salvador Perez","KCR","665","4.2%","25.6%","0.16",".273",".316",".544",".859",".271","1.8",".298","-1.1","0.6","-0.3","105","24.6",".359","127","7304"
"Justin Turner","LAD","612","10.0%","16.0%","0.62",".278",".361",".471",".832",".193","2.9",".292","-1.6","0.6","0.0","96","22.3",".358","127","5235"
"Jared Walsh","LAA","585","8.2%","26.0%","0.32",".277",".340",".509",".850",".232","2.5",".335","-1.9","1.3","-0.5","92","20.7",".357","127","18607"
