last_name, first_name,player_id,year,ff_avg_speed,ff_avg_spin,ff_avg_break_z,
Dickey, R.A.,285079,2017,83.6,1878,-29.1,
Lackey, John,407793,2017,91,2172,-17.3,
Greinke, Zack,425844,2017,90.8,2392,-16,
Santana, Ervin,429722,2017,93.2,2232,-12.1,
Verlander, Justin,434378,2017,95.3,2541,-13.5,
Hammel, Jason,434628,2017,92.2,2198,-14.6,
Nolasco, Ricky,445060,2017,91,2124,-17.7,
Kluber, Corey,446372,2017,92.7,2372,-16,
Vargas, Jason,450306,2017,85.7,2229,-20.8,
Lester, Jon,452657,2017,91.4,2206,-16.1,
Scherzer, Max,453286,2017,94,2503,-14.2,
Richard, Clayton,453385,2017,90.8,2117,-25.2,
Arrieta, Jake,453562,2017,92.2,2312,-15.8,
Lynn, Lance,458681,2017,92.4,2375,-16.7,
Gonzalez, Gio,461829,2017,90,2247,-16.7,
Estrada, Marco,462136,2017,89.8,2386,-11.7,
Nova, Ivan,467100,2017,93.1,2252,-17.4,
Chacin, Jhoulys,468504,2017,91.4,2207,-17.9,
Carrasco, Carlos,471911,2017,94.3,2260,-15.9,
Hellickson, Jeremy,476451,2017,90.1,2096,-17.3,
Kershaw, Clayton,477132,2017,92.8,2340,-9.3,
Cashner, Andrew,488768,2017,93.8,2193,-14.2,
Quintana, Jose,500779,2017,92.2,2042,-13.9,
Archer, Chris,502042,2017,95.5,2249,-12.4,
Cobb, Alex,502171,2017,91.1,2045,-15.8,
Samardzija, Jeff,502188,2017,94.3,2479,-14.9,
Leake, Mike,502190,2017,90.6,2166,-24.7,
Darvish, Yu,506433,2017,94.3,2505,-13.7,
Moore, Matt,519043,2017,91.9,2257,-15.8,
Nelson, Jimmy,519076,2017,94.1,2300,-14.4,
Pomeranz, Drew,519141,2017,91.4,2359,-15.1,
Porcello, Rick,519144,2017,92.1,2441,-15.7,
Sale, Chris,519242,2017,94.8,2336,-17.8,
Perez, Martin,527048,2017,93.2,2085,-16.4,
Teheran, Julio,527054,2017,91.4,2274,-18,
Cole, Gerrit,543037,2017,95.9,2164,-14,
Gray, Sonny,543243,2017,93.5,2484,-16.5,
Roark, Tanner,543699,2017,92.5,2088,-13.4,
Strasburg, Stephen,544931,2017,95.4,2171,-12.1,
Bauer, Trevor,545333,2017,94.1,2277,-12.9,
Tanaka, Masahiro,547888,2017,92.3,2227,-16.4,
Urena, Jose,570632,2017,95.8,2175,-15.2,
Corbin, Patrick,571578,2017,92.3,2293,-17.1,
Straily, Dan,573185,2017,90.5,2227,-13.2,
Stroman, Marcus,573186,2017,93.7,2302,-20.7,
Gausman, Kevin,592332,2017,94.9,2249,-14.1,
Ray, Robbie,592662,2017,94.2,2276,-13.6,
Martinez, Carlos,593372,2017,96.3,2091,-16.9,
deGrom, Jacob,594798,2017,95.2,2362,-12.5,
Bundy, Dylan,605164,2017,92.2,2485,-12.5,
Davies, Zach,605200,2017,,,,
Fulmer, Michael,605242,2017,95.7,2104,-13.5,
Nola, Aaron,605400,2017,92.3,2098,-18.1,
Perdomo, Luis,606131,2017,94.3,1969,-18.2,
Wacha, Michael,608379,2017,95.1,2159,-11.8,
Marquez, German,608566,2017,95,2174,-15,
Blach, Ty,621389,2017,90.6,2158,-18.5,
Severino, Luis,622663,2017,97.5,2301,-11.4,
Greinke, Zack,425844,2018,89.5,2335,-17.5,
Hamels, Cole,430935,2018,92.3,2083,-16.8,
Verlander, Justin,434378,2018,95,2618,-11,
Kluber, Corey,446372,2018,92,2410,-18.1,
Shields, James,448306,2018,89.5,2271,-20.4,
Morton, Charlie,450203,2018,96.1,2243,-17.6,
Lester, Jon,452657,2018,91,2230,-17.5,
LeBlanc, Wade,453281,2018,86.2,1944,-21.4,
Scherzer, Max,453286,2018,94.4,2487,-17.3,
Arrieta, Jake,453562,2018,92.4,2310,-17.4,
Price, David,456034,2018,92.7,2241,-17.9,
Happ, J.A.,457918,2018,92.3,2334,-14.7,
Gonzalez, Gio,461829,2018,90.1,2227,-18.6,
Chacin, Jhoulys,468504,2018,89.9,2136,-21,
Carrasco, Carlos,471911,2018,93.7,2353,-17.4,
Quintana, Jose,500779,2018,91.5,2019,-16.5,
Gibson, Kyle,502043,2018,93.1,2219,-15.1,
Leake, Mike,502190,2018,89.1,2121,-26.9,
Holland, Derek,502706,2018,,,,
Porcello, Rick,519144,2018,91.3,2433,-17.1,
Teheran, Julio,527054,2018,89.9,2326,-20.2,
Anderson, Tyler,542881,2018,91.9,2250,-15.9,
Cole, Gerrit,543037,2018,96.5,2379,-12.5,
Hendricks, Kyle,543294,2018,87.3,2074,-19.8,
Odorizzi, Jake,543606,2018,91.1,2255,-17,
Roark, Tanner,543699,2018,91.5,2103,-16.4,
Bauer, Trevor,545333,2018,94.5,2322,-14.2,
Wheeler, Zack,554430,2018,95.8,2312,-13.1,
Urena, Jose,570632,2018,95.6,2148,-14.8,
Boyd, Matthew,571510,2018,90.5,2282,-18.2,
Corbin, Patrick,571578,2018,90.8,2267,-17.9,
Fiers, Mike,571666,2018,89.4,2308,-15.8,
Heaney, Andrew,571760,2018,,,,
Mikolas, Miles,571945,2018,94.1,2309,-17.1,
Keuchel, Dallas,572971,2018,89.7,2166,-20.9,
Foltynewicz, Mike,592314,2018,96.3,2349,-13.5,
Gausman, Kevin,592332,2018,93.6,2168,-16.1,
Gray, Jon,592351,2018,94.7,2015,-17.1,
Taillon, Jameson,592791,2018,95.2,2350,-14.8,
Williams, Trevor,592866,2018,91.1,2171,-18.3,
deGrom, Jacob,594798,2018,96,2362,-13.2,
Gonzales, Marco,594835,2018,90.1,2251,-17.1,
Junis, Jakob,596001,2018,91.3,2024,-20,
Pivetta, Nick,601713,2018,94.8,2268,-13,
Bundy, Dylan,605164,2018,91.6,2417,-14.1,
Clevinger, Mike,605182,2018,93.6,2298,-14.8,
Nola, Aaron,605400,2018,92.7,2116,-18.9,
Snell, Blake,605483,2018,95.8,2364,-11.6,
Freeland, Kyle,607536,2018,91.8,2266,-20.9,
Giolito, Lucas,608337,2018,92.4,2099,-16.5,
Marquez, German,608566,2018,95.4,2207,-17,
Berrios, Jose,621244,2018,93.4,2213,-16.3,
Castillo, Luis,622491,2018,95.8,2200,-17.6,
Severino, Luis,622663,2018,97.6,2365,-12.6,
Lopez, Reynaldo,625643,2018,95.5,2102,-15.4,
Godley, Zack,643327,2018,89.2,2360,-25.5,
Newcomb, Sean,656794,2018,93,2179,-15.7,
Colon, Bartolo,112526,2016,90.4,2264,-17,
Sabathia, CC,282332,2016,89,2192,-20.4,
Dickey, R.A.,285079,2016,82.9,1889,-30,
Lackey, John,407793,2016,92.4,2270,-15.1,
Wainwright, Adam,425794,2016,90.8,2192,-17.3,
Santana, Ervin,429722,2016,93.4,2250,-12.6,
Hamels, Cole,430935,2016,92.6,2083,-15.8,
Verlander, Justin,434378,2016,94.1,2558,-12.4,
Liriano, Francisco,434538,2016,93.1,2094,-16.8,
Hammel, Jason,434628,2016,92.6,2213,-13.9,
Nolasco, Ricky,445060,2016,91,2099,-15.7,
Kluber, Corey,446372,2016,92.9,2443,-15,
Shields, James,448306,2016,91.1,2289,-14.9,
Garcia, Jaime,448802,2016,91.1,2416,-20,
Volquez, Edinson,450172,2016,94,2312,-17.2,
Weaver, Jered,450308,2016,83.8,2267,-21.7,
Fister, Doug,450729,2016,87.5,1989,-23.3,
Lester, Jon,452657,2016,92.7,2301,-14.8,
Kennedy, Ian,453178,2016,92.7,2384,-14.8,
