last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Ray, Robbie,592662,TOR,FF,4-Seamer,-1.2,-22,1866,59.4,471,0.222,0.431,0.318,24,24.6,21,0.243,0.457,0.328,43.2
Gausman, Kevin,592332,SF,FF,4-Seamer,-0.6,-10,1583,52.7,421,0.257,0.416,0.335,19.5,19.2,19.5,0.278,0.485,0.352,44.8
Mahle, Tyler,641816,CIN,FF,4-Seamer,-0.6,-10,1697,53.1,387,0.236,0.435,0.337,26.9,34.6,21.4,0.215,0.365,0.308,41.2
Richards, Garrett,572070,BOS,FF,4-Seamer,0.3,4,1236,53,355,0.304,0.487,0.389,17.8,14.6,15.8,0.313,0.515,0.395,52.5
Senzatela, Antonio,622608,COL,FF,4-Seamer,-0.4,-5,1303,54.2,352,0.292,0.385,0.322,13.9,10.8,12.3,0.296,0.421,0.331,41.2
Cease, Dylan,656302,CWS,FF,4-Seamer,-0.1,-1,1383,46.8,352,0.264,0.449,0.366,23,19.3,18,0.276,0.502,0.385,46.8
Urías, Julio,628711,LAD,FF,4-Seamer,0.1,1,1331,47.8,347,0.276,0.483,0.354,21.2,23.6,19.9,0.252,0.462,0.332,38.1
Wheeler, Zack,554430,PHI,FF,4-Seamer,-1,-14,1360,42.4,339,0.224,0.317,0.279,26,33,24,0.216,0.315,0.272,32.3
Buehler, Walker,621111,LAD,FF,4-Seamer,-1.3,-19,1403,44.5,336,0.202,0.366,0.295,20.3,23.8,19.3,0.241,0.424,0.331,45.8
Pivetta, Nick,601713,BOS,FF,4-Seamer,0.1,1,1422,51.8,336,0.255,0.435,0.35,20.9,24.1,17.4,0.233,0.412,0.324,46.3
Happ, J.A.,457918,STL,FF,4-Seamer,0.1,1,1442,53.9,336,0.266,0.532,0.382,20.3,22.9,17.7,0.256,0.508,0.367,46.5
