"Season","Name","Team","wFA (pi)","playerid"
"2020","Shane Bieber","CLE","7.8","19427"
"2015","Zack Greinke","LAD","20.1","1943"
"2018","Jacob deGrom","NYM","23.3","10954"
"2020","Trevor Bauer","CIN","14.3","12703"
"2015","Jake Arrieta","CHC","-0.7","4153"
"2018","Blake Snell","TBR","9.3","13543"
"2020","Dallas Keuchel","CHW","-0.7","9434"
"2020","Yu Darvish","CHC","1.7","13074"
"2020","Dinelson Lamet","SDP","2.7","17186"
"2015","Clayton Kershaw","LAD","27.2","2036"
"2016","Kyle Hendricks","CHC","6.6","12049"
"2018","Trevor Bauer","CLE","12.7","12703"
"2017","Corey Kluber","CLE","5.7","2429"
"2020","Chris Bassitt","OAK","2.5","12304"
"2017","Clayton Kershaw","LAD","8.9","2036"
"2019","Hyun-Jin Ryu","LAD","6.6","14444"
"2018","Aaron Nola","PHI","13.4","16149"
"2020","Jacob deGrom","NYM","8.1","10954"
"2021","Corbin Burnes","MIL","0.5","19361"
"2019","Jacob deGrom","NYM","17.0","10954"
"2016","Jon Lester","CHC","20.1","4930"
"2015","David Price","- - -","6.1","3184"
"2021","Max Scherzer","- - -","19.7","3137"
"2021","Walker Buehler","LAD","17.9","19374"
"2015","Dallas Keuchel","HOU","-5.2","9434"
"2019","Gerrit Cole","HOU","35.6","13125"
"2017","Max Scherzer","WSN","9.2","3137"
"2017","Stephen Strasburg","WSN","12.1","10131"
"2018","Justin Verlander","HOU","29.6","8700"
"2018","Max Scherzer","WSN","30.4","3137"
"2015","Jacob deGrom","NYM","21.9","10954"
"2021","Brandon Woodruff","MIL","7.7","16162"
"2019","Justin Verlander","HOU","11.1","8700"
"2015","Gerrit Cole","PIT","16.9","13125"
"2016","Noah Syndergaard","NYM","3.6","11762"
"2019","Mike Soroka","ATL","4.7","18383"
"2020","Hyun-Jin Ryu","TOR","-2.6","14444"
"2020","Kenta Maeda","MIN","6.1","18498"
"2015","Matt Harvey","NYM","16.5","11713"
"2020","Zach Davies","SDP","","13183"
"2015","Sonny Gray","OAK","3.6","12768"
"2016","Madison Bumgarner","SFG","6.0","5524"
"2020","Zac Gallen","ARI","8.2","19291"
"2019","Jack Flaherty","STL","23.5","17479"
"2015","John Lackey","STL","13.2","1507"
"2021","Zack Wheeler","PHI","16.7","10310"
"2016","Johnny Cueto","SFG","10.7","6893"
"2015","Max Scherzer","WSN","24.1","3137"
"2021","Kevin Gausman","SFG","14.2","14107"
"2018","Miles Mikolas","STL","4.4","9803"
"2016","Tanner Roark","WSN","5.2","8753"
"2020","Gerrit Cole","NYY","5.6","13125"
"2021","Robbie Ray","TOR","13.6","11486"
"2018","Kyle Freeland","COL","12.8","16256"
"2018","Mike Foltynewicz","ATL","7.5","10811"
"2016","Jose Fernandez","MIA","9.6","11530"
"2019","Sonny Gray","CIN","-5.9","12768"
"2018","Gerrit Cole","HOU","28.4","13125"
"2020","Kyle Hendricks","CHC","5.4","12049"
"2018","Corey Kluber","CLE","1.6","2429"
"2017","Robbie Ray","ARI","17.7","11486"
"2017","Chris Sale","BOS","26.7","10603"
"2020","Carlos Carrasco","CLE","3.5","6632"
"2020","Zack Wheeler","PHI","4.0","10310"
"2019","Max Scherzer","WSN","17.7","3137"
"2015","Madison Bumgarner","SFG","13.7","5524"
"2019","Zack Greinke","- - -","17.5","1943"
"2017","Gio Gonzalez","WSN","11.7","7448"
"2016","Max Scherzer","WSN","27.6","3137"
"2021","Julio Urias","LAD","-0.1","14765"
"2017","Luis Severino","NYY","9.2","15890"
"2016","Aaron Sanchez","TOR","2.3","11490"
"2015","Carlos Martinez","STL","-11.5","11682"
"2018","Mike Clevinger","CLE","1.2","12808"
"2021","Marcus Stroman","NYM","-0.5","13431"
"2015","Shelby Miller","ATL","8.7","10197"
"2019","Clayton Kershaw","LAD","14.4","2036"
"2015","Lance Lynn","STL","21.3","2520"
"2016","Carlos Martinez","STL","10.7","11682"
"2021","Max Fried","ATL","10.5","13743"
"2016","Justin Verlander","DET","15.0","8700"
"2019","Charlie Morton","TBR","6.9","4676"
"2021","Adam Wainwright","STL","-4.2","2233"
"2020","Brandon Woodruff","MIL","3.6","16162"
"2016","Masahiro Tanaka","NYY","-4.0","15764"
"2017","Marcus Stroman","TOR","-5.0","13431"
"2015","Scott Kazmir","- - -","8.7","4897"
"2020","Marco Gonzales","SEA","8.0","15467"
"2016","Jake Arrieta","CHC","2.1","4153"
"2018","Trevor Williams","PIT","15.4","16977"
"2018","Charlie Morton","HOU","0.7","4676"
"2015","Marco Estrada","TOR","9.9","1118"
"2016","Corey Kluber","CLE","-1.7","2429"
"2016","Rick Porcello","BOS","9.5","2717"
"2018","Patrick Corbin","ARI","1.5","9323"
"2020","Adam Wainwright","STL","-1.0","2233"
"2021","Lance McCullers Jr.","HOU","-0.1","14120"
"2021","Anthony DeSclafani","SFG","6.1","13050"
"2021","Joe Musgrove","SDP","-2.5","12970"
"2015","A.J. Burnett","PIT","-3.6","512"
"2016","J.A. Happ","TOR","23.0","7410"
"2021","Sandy Alcantara","MIA","-0.8","18684"
"2016","Jose Quintana","CHW","18.4","11423"
"2017","Zack Greinke","ARI","0.5","1943"
"2018","Jameson Taillon","PIT","3.4","11674"
"2018","Zack Greinke","ARI","-6.1","1943"
"2016","Julio Teheran","ATL","7.8","6797"
"2020","Luis Castillo","CIN","-1.9","15689"
"2019","Marcus Stroman","- - -","-3.9","13431"
"2021","Gerrit Cole","NYY","15.8","13125"
"2015","Chris Archer","TBR","1.9","6345"
"2019","Patrick Corbin","WSN","-3.5","9323"
"2019","Walker Buehler","LAD","22.3","19374"
"2015","Tyson Ross","SDP","-1.2","7872"
"2019","Shane Bieber","CLE","15.7","19427"
"2017","Ervin Santana","MIN","4.0","3200"
"2020","Aaron Nola","PHI","4.7","16149"
"2017","Carlos Carrasco","CLE","-12.7","6632"
"2020","Dylan Bundy","LAA","4.6","12917"
"2018","Zack Wheeler","NYM","2.2","10310"
"2019","Stephen Strasburg","WSN","2.4","10131"
"2017","Drew Pomeranz","BOS","12.1","11426"
"2016","Cole Hamels","TEX","2.1","4972"
"2018","Jon Lester","CHC","-0.8","4930"
"2020","Lance Lynn","TEX","6.2","2520"
"2016","Drew Pomeranz","- - -","7.4","11426"
"2016","Chris Sale","CHW","13.9","10603"
"2015","Jon Lester","CHC","7.2","4930"
"2015","Wei-Yin Chen","BAL","3.1","13071"
"2021","Charlie Morton","ATL","9.6","4676"
"2016","John Lackey","CHC","4.5","1507"
"2015","Jake Odorizzi","TBR","8.3","6397"
"2019","Dakota Hudson","STL","8.3","19206"
"2015","Jose Quintana","CHW","-5.9","11423"
"2017","Justin Verlander","- - -","35.2","8700"
"2021","Wade Miley","CIN","3.3","8779"
"2021","Frankie Montas","OAK","4.9","14309"
"2015","Michael Wacha","STL","12.5","14078"
"2018","Carlos Carrasco","CLE","-2.5","6632"
"2015","Francisco Liriano","PIT","2.7","3201"
