"Season","Name","Team","wFB","FA-Z (pi)","vFA (pi)","playerid"
"2020","Shane Bieber","CLE","7.4","9.6","94.3","19427"
"2015","Zack Greinke","LAD","20.0","8.9","92.3","1943"
"2018","Jacob deGrom","NYM","23.9","8.4","96.3","10954"
"2020","Trevor Bauer","CIN","12.7","10.5","93.7","12703"
"2015","Jake Arrieta","CHC","23.7","8.0","94.8","4153"
"2018","Blake Snell","TBR","8.9","9.5","96.0","13543"
"2020","Dallas Keuchel","CHW","-0.7","7.3","88.5","9434"
"2020","Yu Darvish","CHC","3.1","9.6","96.1","13074"
"2020","Dinelson Lamet","SDP","2.2","9.0","97.0","17186"
"2015","Clayton Kershaw","LAD","24.7","10.5","94.1","2036"
"2016","Kyle Hendricks","CHC","13.9","7.4","88.9","12049"
"2018","Trevor Bauer","CLE","8.7","8.5","94.6","12703"
"2017","Corey Kluber","CLE","-2.3","7.6","92.8","2429"
"2020","Chris Bassitt","OAK","5.3","7.6","93.6","12304"
"2017","Clayton Kershaw","LAD","8.3","10.5","92.9","2036"
"2019","Hyun-Jin Ryu","LAD","7.1","6.8","90.9","14444"
"2018","Aaron Nola","PHI","17.8","6.3","92.9","16149"
"2020","Jacob deGrom","NYM","7.9","8.7","98.7","10954"
"2021","Corbin Burnes","MIL","-2.4","7.9","96.5","19361"
"2019","Jacob deGrom","NYM","16.8","8.7","97.1","10954"
"2016","Jon Lester","CHC","14.0","8.7","93.1","4930"
"2015","David Price","- - -","19.7","8.8","95.0","3184"
"2021","Max Scherzer","- - -","19.9","8.2","94.5","3137"
"2021","Walker Buehler","LAD","22.9","9.5","95.5","19374"
"2015","Dallas Keuchel","HOU","15.8","8.0","90.4","9434"
"2019","Gerrit Cole","HOU","37.1","9.5","97.3","13125"
"2017","Max Scherzer","WSN","9.8","7.6","94.3","3137"
"2017","Stephen Strasburg","WSN","12.6","8.1","95.9","10131"
"2018","Justin Verlander","HOU","30.2","10.5","95.1","8700"
"2018","Max Scherzer","WSN","30.2","7.0","94.5","3137"
"2015","Jacob deGrom","NYM","18.5","8.4","95.8","10954"
"2021","Brandon Woodruff","MIL","22.7","8.7","96.5","16162"
"2019","Justin Verlander","HOU","12.2","10.7","94.6","8700"
"2015","Gerrit Cole","PIT","24.2","6.9","96.4","13125"
"2016","Noah Syndergaard","NYM","6.5","8.9","98.9","11762"
"2019","Mike Soroka","ATL","18.7","6.5","92.9","18383"
"2020","Hyun-Jin Ryu","TOR","-3.8","6.8","89.9","14444"
"2020","Kenta Maeda","MIN","7.3","7.9","91.8","18498"
"2015","Matt Harvey","NYM","16.2","7.7","96.6","11713"
"2020","Zach Davies","SDP","-2.6","","","13183"
"2015","Sonny Gray","OAK","16.3","7.6","94.1","12768"
"2016","Madison Bumgarner","SFG","4.5","8.3","91.6","5524"
"2020","Zac Gallen","ARI","7.9","9.2","93.2","19291"
"2019","Jack Flaherty","STL","32.8","7.5","94.5","17479"
"2015","John Lackey","STL","20.7","6.9","92.4","1507"
"2021","Zack Wheeler","PHI","26.0","8.2","97.3","10310"
"2016","Johnny Cueto","SFG","17.8","8.0","92.5","6893"
"2015","Max Scherzer","WSN","20.9","7.1","94.7","3137"
"2021","Kevin Gausman","SFG","11.5","8.5","94.7","14107"
"2018","Miles Mikolas","STL","8.2","7.0","94.3","9803"
"2016","Tanner Roark","WSN","15.2","8.2","93.0","8753"
"2020","Gerrit Cole","NYY","5.0","9.4","96.9","13125"
"2021","Robbie Ray","TOR","13.8","8.8","94.6","11486"
"2018","Kyle Freeland","COL","18.5","5.5","92.0","16256"
"2018","Mike Foltynewicz","ATL","0.5","8.5","96.4","10811"
"2016","Jose Fernandez","MIA","7.6","8.1","96.0","11530"
