"Season","Name","Team","wFB","vFA (sc)","FA-Z (sc)","playerid"
"2020","Shane Bieber","CLE","7.4","94.1","10.6","19427"
"2015","Zack Greinke","LAD","20.0","91.8","9.5","1943"
"2018","Jacob deGrom","NYM","23.9","96.0","9.3","10954"
"2020","Trevor Bauer","CIN","12.7","93.5","11.5","12703"
"2015","Jake Arrieta","CHC","23.7","94.4","8.8","4153"
"2018","Blake Snell","TBR","8.9","95.8","10.9","13543"
"2020","Dallas Keuchel","CHW","-0.7","88.3","7.7","9434"
"2020","Yu Darvish","CHC","3.1","95.9","10.7","13074"
"2020","Dinelson Lamet","SDP","2.2","97.0","10.2","17186"
"2015","Clayton Kershaw","LAD","24.7","93.6","11.1","2036"
"2016","Kyle Hendricks","CHC","13.9","89.6","8.1","12049"
"2018","Trevor Bauer","CLE","8.7","94.5","9.5","12703"
"2017","Corey Kluber","CLE","-2.3","92.7","8.9","2429"
"2020","Chris Bassitt","OAK","5.3","93.3","8.5","12304"
"2017","Clayton Kershaw","LAD","8.3","92.8","13.4","2036"
"2019","Hyun-Jin Ryu","LAD","7.1","90.7","7.7","14444"
"2018","Aaron Nola","PHI","17.8","92.7","7.1","16149"
"2020","Jacob deGrom","NYM","7.9","98.6","9.7","10954"
"2021","Corbin Burnes","MIL","-2.4","96.4","8.2","19361"
"2019","Jacob deGrom","NYM","16.8","96.9","9.7","10954"
"2016","Jon Lester","CHC","14.0","92.1","9.6","4930"
"2015","David Price","- - -","19.7","93.9","10.1","3184"
"2021","Max Scherzer","- - -","19.9","94.3","9.3","3137"
"2021","Walker Buehler","LAD","22.9","95.3","10.4","19374"
"2015","Dallas Keuchel","HOU","15.8","88.9","8.2","9434"
"2019","Gerrit Cole","HOU","37.1","97.1","10.7","13125"
"2017","Max Scherzer","WSN","9.8","94.0","9.7","3137"
"2017","Stephen Strasburg","WSN","12.6","95.4","10.5","10131"
"2018","Justin Verlander","HOU","30.2","95.0","12.0","8700"
"2018","Max Scherzer","WSN","30.2","94.4","7.8","3137"
"2015","Jacob deGrom","NYM","18.5","95.0","9.0","10954"
"2021","Brandon Woodruff","MIL","22.7","96.5","9.7","16162"
"2019","Justin Verlander","HOU","12.2","94.6","12.1","8700"
"2015","Gerrit Cole","PIT","24.2","95.6","7.7","13125"
"2016","Noah Syndergaard","NYM","6.5","98.0","10.2","11762"
"2019","Mike Soroka","ATL","18.7","92.9","7.6","18383"
"2020","Hyun-Jin Ryu","TOR","-3.8","89.8","7.8","14444"
"2020","Kenta Maeda","MIN","7.3","91.6","8.9","18498"
"2015","Matt Harvey","NYM","16.2","95.8","9.3","11713"
"2020","Zach Davies","SDP","-2.6","","","13183"
"2015","Sonny Gray","OAK","16.3","93.0","8.8","12768"
"2016","Madison Bumgarner","SFG","4.5","90.6","9.5","5524"
"2020","Zac Gallen","ARI","7.9","93.2","10.5","19291"
"2019","Jack Flaherty","STL","32.8","94.3","8.4","17479"
"2015","John Lackey","STL","20.7","91.6","8.1","1507"
"2021","Zack Wheeler","PHI","26.0","97.2","9.3","10310"
"2016","Johnny Cueto","SFG","17.8","92.0","9.2","6893"
"2015","Max Scherzer","WSN","20.9","94.1","7.8","3137"
"2021","Kevin Gausman","SFG","11.5","94.6","9.7","14107"
"2018","Miles Mikolas","STL","8.2","94.1","8.2","9803"
"2016","Tanner Roark","WSN","15.2","92.0","9.6","8753"
"2020","Gerrit Cole","NYY","5.0","96.7","10.4","13125"
"2021","Robbie Ray","TOR","13.8","94.8","10.1","11486"
"2018","Kyle Freeland","COL","18.5","91.8","6.4","16256"
"2018","Mike Foltynewicz","ATL","0.5","96.3","9.5","10811"
"2016","Jose Fernandez","MIA","7.6","95.2","9.4","11530"
